year,NDVI,NDWI
2015,0.32477709650993347,-0.3366188406944275
2016,0.3458554148674011,-0.3534628748893738
2017,0.44738471508026123,-0.4487117528915405
2018,0.4947225749492645,-0.48030799627304077
2019,0.43110185861587524,-0.4277498424053192
2020,0.4202369451522827,-0.4116283655166626
2021,0.3798970878124237,-0.36318427324295044
2022,0.2923310399055481,-0.30696579813957214
2023,0.3254128098487854,-0.3204899728298187
